,NEUE_NAMEN_x,ADRESSE,Sicherheit,Longitude_x,Latitude_x,Longitude_Steinhausen,Latitude_Steinhausen,Quelle,URL,Unnamed: 10
33,Schranders ,,niedrig(f),16.37217105,48.21109399,,,Steinhausen Gazetteer,,
34,Kleidermagazin,,niedrig(f),,,,,,,
35,BriefPost,,,,,,,,,
36,Schaumburgs eleganter Bücherladen,"Haus Schaumburg?, 01., Wollzeile 11",mittel,16.3754491100922,48.2090440693221,,,Steinhausen Gazetteer,,
37,Essiggäßchen,,mittel,16.375679,48.208956,,,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Essiggasse_(Wien)&language=de&params=48.208956_N_16.375679_E_region:AT-9_type:landmark,
38,Bäckerstraße,"01., Bäckerstraße 18",hoch,16.377045447165173,48.20872659105826,,,KulturWikiOGD,,
39,Universitätsplatz,heute: Dr. Ignaz-Seipel-Platz,hoch,16.3781375997648,48.2088846197433,,,"Wien Geschiche Wiki, GoogleMaps",https://www.geschichtewiki.wien.gv.at/Alte_Universit%C3%A4t,
40,Universitäts=Gebäude,"01., Dr.-Ignaz-Seipel-Platz 1",mittel,16.3776773542714,48.2088379701425,,,"Wien Geschiche Wiki, GoogleMaps",https://www.geschichtewiki.wien.gv.at/Alte_Universit%C3%A4t,
41,Sternwarte,"im Universitätsgebaude, 01., Dr.-Ignaz-Seipel-Platz 1",mittel,,,,,,,
42,Konvikt,,,,,,,,,
43,Universitätshaus,"09., Spitalgasse 2 Uni-Campus",mittel,16.37723433,48.20918577,,,Steinhausen Gazetteer,,
44,Schulgasse,"10., Scheugasse 13",niedrig(f),16.37085685,48.2112754,,,Steinhausen Gazetteer,,
45,Dominkanerplatz,,,,,,,,,
46,Universitätsbibllothek,"01., Universitätsring 1 UNIVERSITÄT",niedrig(f),16.36085192883249,48.21301274927523,,,KulturwikiOGD,,
47,Fahrpost,,,,,,,,,
48,griechische Kirche,"1., Fleischmarkt 13",hoch,16.3774172646315,48.210834889439,,,"Wien Geschichte Wiki, GoogleMaps","https://www.geschichtewiki.wien.gv.at/Griechisch-orientalische_Kirche_(1,_Fleischmarkt)",
49,Hauptmauth,,hoch,16.37906,48.210195,,,Steinhausen Gazetteer,,
50,Hôtel zur Stadt London,"1, Fleischmarkt 28, Postgasse 13-15",hoch,16.3787162738531,48.2100720501452,,,"Wien Geschichte Wiki, GoogleMaps",https://www.geschichtewiki.wien.gv.at/Zur_Stadt_London,
51,Währingergasse,"04., Weyringergasse 24",hoch,16.35822875,48.21860117,,,Steinhausen Gazetteer,,
52,Palais Dietrichstein,"01., Minoritenplatz 3",niedrig(f),16.3632106965997,48.2095940666158,,,"Wien Geschichte Wiki, GoogleMaps",,
53,Josephinum,"09., Währinger Straße 25",mittel,16.356561962066262,48.21930800044049,,,KulturwikiOGD,,
54,Waisenhaus,"09., Strudlhofgasse 7",mittel,16.355685475675617,48.22243948084974,,,KulturwikiOGD,,
