FID,OBJECTID,SHAPE,ADRESSE,ANDERE_BEZEICHNUNG,ART_DER_ORGANISATION,ART_DES_BAUWERKS,ART_DES_EREIGNISSES,ART_DES_OBJEKTS,BENANNT_NACH,BEZIRK,BEZIRK_TXT,DATUM_BIS,DATUM_VON,EINLAGEZAHL,FRUEHERE_BEZEICHNUNG,KATEGORIE,KATEGORIE_TXT,LAGE,NAME_SEIT,PAGEID,PROMINENTE_BEWOHNER,PROMINENTE_PERSONEN,SEITENNAME,STADTPLAN,WEBLINK1,SE_ANNO_CAD_DATA
KULTURWIKIOGD.293838,293838,POINT (16.274651857385894 48.1398684395864),"23., Rudolf-Waisenhorn-Gasse 37E",,,,,Grünfläche,Bertha Neumann,23,23,,,,,0,topografische_objekte,,,54908,,,Bertha-Neumann-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=54908,
KULTURWIKIOGD.293839,293839,POINT (16.37484918133521 48.21354802372756),"01., Franz-Josefs-Kai 31/1",,,,,Grünfläche,,1,1,,,,,0,topografische_objekte,Franz-Josefs-Kai,,10288,,,Beserlpark,1,https://www.geschichtewiki.wien.gv.at/?curid=10288,
KULTURWIKIOGD.293840,293840,POINT (16.360284233757913 48.200491095665264),"06., Theobaldgasse 12",Ratzenstadl,,,,Grätzel,,6,6,,1400,,,0,TopografischeObjekte,,,10431,,,Bettelbühel (6),1,https://www.geschichtewiki.wien.gv.at/?curid=10431,
KULTURWIKIOGD.293841,293841,POINT (16.239564114556934 48.20582644027207),"14., Rudolf-Henke-Straße 12",,,,,Berg,Bierkeller,14,,,,,,0,topografische_objekte,Hütteldorf,,11610,,,Bierhäuselberg,1,https://www.geschichtewiki.wien.gv.at/?curid=11610,
KULTURWIKIOGD.293842,293842,POINT (16.525728444967083 48.214541926162234),"22., Gartenheimstraße 2",,,,,Grünfläche,Bill Grah,22,22,,,,,0,topografische_objekte,,,30281,,,Bill-Grah-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=30281,
KULTURWIKIOGD.293844,293844,POINT (16.321164497938632 48.252101873247355),"19., Fröschelgasse 3",,,,,Grünfläche,Blinden,19,,,,,,0,topografische_objekte,Wertheimsteinpark,,12933,,,Blindengarten,1,https://www.geschichtewiki.wien.gv.at/?curid=12933,
KULTURWIKIOGD.293845,293845,POINT (16.36756821409457 48.21128203950535),"01., Am Hof 6A",,,,,Markt,,1,1,,,,,0,TopografischeObjekte,Am Hof,,13039,,,Blumenmarkt,1,https://www.geschichtewiki.wien.gv.at/?curid=13039,
KULTURWIKIOGD.293846,293846,POINT (16.403965015119756 48.196065089344295),"03., Fiakerplatz TIEFGARAGE",,,,,Grünfläche,Sofie und Josefine-Katherina Bock,3,3,,,,,0,topografische_objekte,Bereich Fiakerplatz,,32983,,,Bock-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=32983,
KULTURWIKIOGD.293847,293847,POINT (16.36327730665026 48.263087794872106),"19., Nußberggasse 2C Haus 1",,,,,Siedlung,,19,19,,1964,,,0,TopografischeObjekte,,1964,13249,,,Bockkeller-Siedlung,1,https://www.geschichtewiki.wien.gv.at/?curid=13249,
KULTURWIKIOGD.293848,293848,POINT (16.383468107371698 48.19080212731889),"03., Jacquingasse 8-10(NIEDERL.BOTSCHAFT)",,,,,Grünfläche,,3,3,,,,k.k Botanischer Garten,0,topografische_objekte,Rennweg 14,,2444,,,Botanischer Garten,1,https://www.geschichtewiki.wien.gv.at/?curid=2444,
KULTURWIKIOGD.293849,293849,POINT (16.368918183101805 48.193710122553846),"04., Brahmsplatz 6",,,,,Grätzel,,4,4,,,,,0,TopografischeObjekte,,,4584,,,Brahmsplatz-Viertel,1,https://www.geschichtewiki.wien.gv.at/?curid=4584,
KULTURWIKIOGD.293850,293850,POINT (16.44646537904806 48.2574824758893),"22., Brabbeegasse 37","Pressburg, Poszony",,,,Ort,,22,,,,,"Pressburg, Poszony, Presporok",0,TopografischeObjekte,,,54319,,,Bratislava,1,https://www.geschichtewiki.wien.gv.at/?curid=54319,
KULTURWIKIOGD.293851,293851,POINT (16.277238110270787 48.13705057642208),"23., Brauereisteg über die Liesing 2331",,,,,Sonstiges,Brauhäuser,23,,,,,,0,topografische_objekte,,,33281,,,Brauereisteg,1,https://www.geschichtewiki.wien.gv.at/?curid=33281,
KULTURWIKIOGD.293852,293852,POINT (16.32554738749356 48.18859917351515),"15., Dreihausgasse 19",,,,,Grünfläche,Braunhirschengrund (Vorort),15,15,,,,,0,topografische_objekte,"zwischen Braunhirschen-, Reichsapfel- und Oelweingasse",,6479,,,Braunhirschenpark,1,https://www.geschichtewiki.wien.gv.at/?curid=6479,
KULTURWIKIOGD.293853,293853,POINT (16.343187335661487 48.213480044343605),"08., Albertgasse 51/2",,,,,Vorstadt,Alsbreite (Getreidefeld),8,,,,,,0,topografische_objekte,zwischen Hernals und Lerchenfeld,,6628,,,Breitenfeld (Vorstadt),1,https://www.geschichtewiki.wien.gv.at/?curid=6628,
KULTURWIKIOGD.293854,293854,POINT (16.286734505776007 48.137189443024056),"23., Breitenfurter Straße 350",,,,,Ort,,23,23,,,,,0,TopografischeObjekte,,1544,6740,,,Breitenfurt,1,https://www.geschichtewiki.wien.gv.at/?curid=6740,
KULTURWIKIOGD.293855,293855,POINT (16.497760137864624 48.25115133690377),"22., Breitenleer Straße 256",,,,,Ort,"""lewer"" = Sanddüne",22,,,,,,0,topografische_objekte,westliches Marchfeld,,6757,,,Breitenlee (Ort),1,https://www.geschichtewiki.wien.gv.at/?curid=6757,
KULTURWIKIOGD.293856,293856,POINT (16.492971656535214 48.252212766241044),"22., Breitenleer Straße 217/2",,,,,Friedhof,,22,22,,,,,0,TopografischeObjekte,Breitenleer Straße,,6761,,,Breitenleer Friedhof,1,https://www.geschichtewiki.wien.gv.at/?curid=6761,
KULTURWIKIOGD.293857,293857,POINT (16.30500950428135 48.200120131683256),"14., Spallartgasse 21",,,,,Berg,,14,,,,,,0,TopografischeObjekte,,,30669,,,Breitenseer Platte,1,https://www.geschichtewiki.wien.gv.at/?curid=30669,
KULTURWIKIOGD.293858,293858,POINT (16.405657070582357 48.242764865381595),"21., Walkergasse 31A",,,,,Grätzel,,21,22,,,,,0,TopografischeObjekte,,,7227,,,Bretteldorf,1,https://www.geschichtewiki.wien.gv.at/?curid=7227,
KULTURWIKIOGD.293859,293859,POINT (16.373693181722434 48.2102570404076),"01., Lichtensteg 3",,,,,Grätzel,Bretzen-Gebäck,1,1,,1391,,,0,TopografischeObjekte,"Kramergasse, Ecke Lichtensteg",,7239,,,Bretzeneck,1,https://www.geschichtewiki.wien.gv.at/?curid=7239,
KULTURWIKIOGD.293843,293843,POINT (16.369797358112557 48.32374550127862),,Püsenberg,,,,Berg,,21,,,,,,0,topografische_objekte,auch Niederösterreich,,12136,,,Bisamberg,1,https://www.geschichtewiki.wien.gv.at/?curid=12136,
KULTURWIKIOGD.293860,293860,POINT (16.369191274899364 48.261264799561005),"20., Am Brigittenauer Sporn 9",Nussdorfer Spitz,,,,Sonstiges Topografisches Objekt,,20,,,,,,0,topografische_objekte,,,22189,,,Brigittaspitz,1,https://www.geschichtewiki.wien.gv.at/?curid=22189,
KULTURWIKIOGD.293861,293861,POINT (16.371218223814147 48.23186393847383),"20., Brigittaplatz 22 GGUE.22(WC-ANLAGE)",,,,,Grünfläche,Brigittakirche,20,20,,,,,0,topografische_objekte,,,30672,,,Brigittapark,1,https://www.geschichtewiki.wien.gv.at/?curid=30672,
KULTURWIKIOGD.293862,293862,POINT (16.375805904211965 48.23846267177948),"20., Leithastraße 16",,,,,Werd,Brigittakapelle,20,,,,,,0,topografische_objekte,,,149,,,Brigittenau,1,https://www.geschichtewiki.wien.gv.at/?curid=149,
KULTURWIKIOGD.293863,293863,POINT (16.3912794989312 48.23685721192749),"20., Brigittenauer Brücke-Strombrücke 2015/7",,,,,Gewässer,,20,"2,20",,1890,,,0,TopografischeObjekte,,,41025,,,Brigittenauer Sammelkanal,1,https://www.geschichtewiki.wien.gv.at/?curid=41025,
KULTURWIKIOGD.293864,293864,POINT (16.345978304793075 48.20106410141021),"07., Bandgasse 6",,,,,Grätzel,Reichtum der ansässigen Handwerker,7,7,,,,,0,TopografischeObjekte,Schottenfeld,,7537,,,Brillantengrund,1,https://www.geschichtewiki.wien.gv.at/?curid=7537,
KULTURWIKIOGD.293865,293865,POINT (16.402891087430405 48.24462585873327),"21., Birneckergasse 15",,,,,Siedlung,Insel an der Brücke,21,21,,,,,0,topografische_objekte,,,9688,,,Bruckhaufen (Siedlung),1,https://www.geschichtewiki.wien.gv.at/?curid=9688,
KULTURWIKIOGD.293866,293866,POINT (16.33563336774178 48.20973306670167),"16., Brunnenmarkt Stand 19",,,,,Markt,Brunnengasse,16,,,,,,0,topografische_objekte,,,10453,,,Brunnenmarkt,1,https://www.geschichtewiki.wien.gv.at/?curid=10453,
KULTURWIKIOGD.293867,293867,POINT (16.343668297715165 48.187877165626986),"05., Schönbrunner Straße 147",,,,,Grünfläche,Bruno Kreisky,5,,,,,,0,topografische_objekte,,,33500,,,Bruno-Kreisky-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=33500,
KULTURWIKIOGD.293868,293868,POINT (16.292197493818424 48.14815038779759),"23., Scherbangasse 3 Haus 12",,,,,Grünfläche,Bruno Morpurgo,23,23,,,,,0,topografische_objekte,,,32962,,,Bruno-Morpurgo-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=32962,
KULTURWIKIOGD.293869,293869,POINT (16.474318621778266 48.16010521765166),"11., Brühlgasse 6",,,,,Sonstiges Topografisches Objekt,,11,,,,,,0,topografische_objekte,,,10091,,,Brühlwiese,1,https://www.geschichtewiki.wien.gv.at/?curid=10091,
KULTURWIKIOGD.293870,293870,POINT (16.347737319762803 48.2176500212645),"09., Lazarettgasse 14C SCHULE",,,,,Sonstiges Topografisches Objekt,"Goldbrünnl"" (heilkräftige Quelle)",9,,,,,,0,topografische_objekte,,,10702,,,Brünnlfeld,1,https://www.geschichtewiki.wien.gv.at/?curid=10702,
KULTURWIKIOGD.293871,293871,POINT (16.355020271001973 48.20854105977776),"08., Auerspergstraße 9(HOTEL)",,,,,Sonstiges Topografisches Objekt,,8,,,,,,0,topografische_objekte,,,10783,,,Buchenwäldchen,1,https://www.geschichtewiki.wien.gv.at/?curid=10783,
KULTURWIKIOGD.293872,293872,POINT (16.299004833708015 48.2414063981075),"18., Ladenburghöhe 9",,,,,Sonstiges,Mit Buchen bewachsener Hang,18,18,,1394,,,0,TopografischeObjekte,Pötzleinsdorf,29 September 1394,30685,,,Buchleiten,1,https://www.geschichtewiki.wien.gv.at/?curid=30685,
KULTURWIKIOGD.293873,293873,POINT (16.36595721226683 48.20455507212498),"01., Burggarten P Burggartenrestaurant",,,,,Grünfläche,Hofburg,1,,,,,,0,topografische_objekte,,,13441,,,Burggarten,1,https://www.geschichtewiki.wien.gv.at/?curid=13441,
KULTURWIKIOGD.293874,293874,POINT (16.346761364643793 48.16865765374807),"10., Wienerbergstraße 5",,,,,Sonstiges,,10,10,,1990,,,0,TopografischeObjekte,Wienerberg,1990,14474,,,Business Park Vienna,1,https://www.geschichtewiki.wien.gv.at/?curid=14474,
KULTURWIKIOGD.293875,293875,POINT (16.399517996203333 48.16677723150953),"10., Laaer Wald 20B",,,,,Grünfläche,In Favoriten ansässige und arbeitende böhmische (und mährische) Arbeiter,10,10,,,,,0,topografische_objekte,Laaer Berg,,1590,,,Böhmischer Prater,1,https://www.geschichtewiki.wien.gv.at/?curid=1590,
KULTURWIKIOGD.293876,293876,POINT (16.367328218467087 48.21436702490137),"01., Börseplatz 6",,,,,Grünfläche,Börse (Gebäude),1,1,,,,,0,topografische_objekte,,,2140,,,Börsepark (1),1,https://www.geschichtewiki.wien.gv.at/?curid=2140,
KULTURWIKIOGD.293877,293877,POINT (16.377107166276584 48.21116303402779),"01., Griechengasse 7",,,,,Sonstiges,Bürgergarde,1,1,,1499,,,0,TopografischeObjekte,,,13087,,,Bürgermusterung (1),1,https://www.geschichtewiki.wien.gv.at/?curid=13087,
KULTURWIKIOGD.293878,293878,POINT (16.37094617852241 48.19799610053573),"04., Karlsgasse 3",Armensünder-Gottesacker,,,,Friedhof,Bürgerspital,4,,,,,,0,topografische_objekte,,,13297,,,Bürgerspital-Gottesacker,1,https://www.geschichtewiki.wien.gv.at/?curid=13297,
KULTURWIKIOGD.293879,293879,POINT (16.1995610433717 48.21763711360413),"14., Wurzbachtalgasse 43",,,,,Sonstiges,,14,14,,,,,0,TopografischeObjekte,östllich der Mauerbachstraße und südlich des Kasgrabens,,13327,,,Bürgerspitalwald,1,https://www.geschichtewiki.wien.gv.at/?curid=13327,
KULTURWIKIOGD.293880,293880,POINT (16.41860290232081 48.16649822135696),"11., Hasenleitengasse 10/17",,,,,Grünfläche,,11,11,,,,,0,topografische_objekte,,,48669,,,Carsonypark,1,https://www.geschichtewiki.wien.gv.at/?curid=48669,
KULTURWIKIOGD.293881,293881,POINT (16.425010953946565 48.22687792924529),"22., Schüttauplatz 7",,,,,Grünfläche,Ladislaus Cholewka,22,22,,,,,0,topografische_objekte,,,33408,,,Cholewkapark,1,https://www.geschichtewiki.wien.gv.at/?curid=33408,
KULTURWIKIOGD.293882,293882,POINT (16.312312955727794 48.14996376214541),"23., Anton-Baumgartner-Straße 125/2",,,,,Sonstiges,Alwin Kjell Christenson,23,23,,2009,,,0,TopografischeObjekte,,2 Juni 2009,33346,,,Christensonsteg,1,https://www.geschichtewiki.wien.gv.at/?curid=33346,
KULTURWIKIOGD.293883,293883,POINT (16.32793436427327 48.180370211498634),"12., Tivoligasse 12(TIEFGARAGE)",,,,,Grünfläche,Christine Busta,12,12,,,,Füchselhofpark,0,topografische_objekte,Meidlíng,,44184,,,Christine-Busta-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=44184,
KULTURWIKIOGD.293884,293884,POINT (16.35896747276876 48.21061178370736),"01., Christkindlmarkt C",,,,,Sonstiges,,1,,,,,,0,topografische_objekte,Rathausplatz,,19115,,,Christkindlmarkt,1,https://www.geschichtewiki.wien.gv.at/?curid=19115,
