Index,NEUE_NAMEN,ADRESSE,Sicherheit,Longitude,Latitude,Quelle,URL
18,Polytechnische Jnstitut,"04., Karlsplatz 13",,16.369912,48.198888,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=K.k._Polytechnisches_Institut&language=de&params=48.198888_N_16.369912_E_region:AT-9_type:landmark
19,Karlskirche,"04., Karlsplatz 10(KIRCHE)",,16.371866173866,48.1982450990309,KulturwikiOGD,
20,Burg,Hofburg,,16.366111,48.206389,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wiener_Karlskirche&language=de&params=48.198247222222_N_16.371422222222_E_region:AT-9_type:landmark
22,Appartements Sr Majestät des Kaisers,"Amalienburg, Hofburg? ",,,,,
23,Rittersaal,"Zeremoniensaaltrakt, Hofburg",,16.366111,48.206389,KulturwikiOGD,
25,astronomische Thurm,,,,,,
26,Burg,Hofburg,,16.366111,48.206389,KulturwikiOGD,
28,Josephsplatze,,,16.367182,48.206511,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Josefsplatz_(Wien)&language=de&params=48.206511_N_16.367182_E_region:AT-9_type:landmark
30,Burgplatz,,,,,,
31,Volksgarten,"01., Volksgarten THESEUSTEMPEL",,16.3617552379407,48.2079640584701,KulturwikiOGD,
32,Burggarten,"01., Burggarten P Burggartenrestaurant",,16.3659572122668,48.2045550721249,KulturwikiOGD,
33,Burggarten,"01., Burggarten P Burggartenrestaurant",,16.3659572122668,48.2045550721249,KulturwikiOGD,
34,Gewächshäuser,Schmetterlingshaus,,16.366667,48.205278,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Schmetterlinghaus&language=de&params=48.205277777778_N_16.366666666667_E_region:AT-9_type:landmark
35,Wall,,,16.37638786,48.20958737,Gazetteer_Steinhausenplan_V5_auto,
37,Spitalplatze,"01., heute: Albertinaplatz",,16.369026,48.204306,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Albertinaplatz&language=de&params=48.204306_N_16.369026_E_region:AT-9_type:landmark
38,Hofbauamte,"01., beim Albertinaplatz? Neben der Augustinerbastei?",,,,,
39,Kärnthnerthor=Theater,"01., Philharmonikerstraße 4",,16.3697726725468,48.2038870809446,KulturwikiOGD,
40,Wall,,,16.37638786,48.20958737,Gazetteer_Steinhausenplan_V5_auto,
41,Kärnthnerthore,"01, Kärntner Straße 51",,16.3705344576716,48.2033034339512,"Wien Geschichte Wiki, Google Maps",https://www.geschichtewiki.wien.gv.at/K%C3%A4rntnertor
42,Kärnthnerstraße,"01., Kärntner Straße VOR 11-15 STAND",,16.3715650714715,48.2068929024781,KulturwikiOGD,
43,Wieden,"04., Waltergasse 10/1",,16.3698168706786,48.1915082966871,KulturwikiOGD,
44,Baden,,,,,,
45,Starhembergische Freihaus,"04., Wiedner Hauptstraße 8-10 ",,16.3673894389274,48.1988658892135,"ÖAW, Google Maps",https://www.oeaw.ac.at/tuerkengedaechtnis/denkmaeler/ort/wieden-freihaus
46,Polytechnische Jnstitut,"04., Karlsplatz 13",,16.369912,48.198888,KulturwikiOGD,
47,Karlskirche,"04., Karlsplatz 10(KIRCHE)",,16.371866173866,48.1982450990309,KulturwikiOGD,
48,Starhembergische Freihaus,"04., Wiedner Hauptstraße 8-10 ",,16.3673894389274,48.1988658892135,KulturwikiOGD,
49,Wienerwaldes,"14., Knödelhüttenstraße 176",,16.2343370924983,48.2244265511275,KulturwikiOGD,
50,Schneeberg,,,15.8075,47.775833,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Schneeberg_(Rax-Schneeberg-Gruppe)&language=de&params=47.775833333333_N_15.8075_E_dim:5000_region:AT-3_type:mountain(2076)
51,Karlskirche,"04., Karlsplatz 10(KIRCHE)",,16.371866173866,48.1982450990309,KulturwikiOGD,
53,Belvedere,"03., Prinz-Eugen-Straße 27 Obj. 8",,16.3803401276524,48.194248112951,KulturwikiOGD,
54,Bahnhofe,"*der Raaber Linie, ehem. Südbahnhof, Vor der Favoriten=Linie.",,16.3801,48.186576,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wien_S%C3%BCdbahnhof&language=de&params=48.186576_N_16.3801_E_dim:2000_region:AT-9_type:railwaystation
55,Belvedere,"03., Prinz-Eugen-Straße 27 Obj. 8",,16.3803401276524,48.194248112951,KulturwikiOGD,
56,Kirche und Kloster der Salesianerinnen,"03., Rennweg",,16.381667,48.195833,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Salesianerinnenkirche_(Wien)&language=de&params=48.195833333333_N_16.381666666667_E_region:AT-9_type:landmark
57,Schwarzenbergischen Palais,,,16.3702521,48.20529079,Gazetteer_Steinhausenplan_V5_manuell,
58,Kaserne,,,3405.8065396047,340140.806347143,KulturwikiOGD,
59,Palais,,,,,,
60,Stadtgraben,,,,,,
61,Palais Kolowrat,"01., Seilerstätte 23 (?)",,16.3734428711641,48.2037413367958,"Planet Vienna, Google Maps",https://planet-vienna.com/palais-kolowrat-liebsteinsky/
62,Artillerie=Haupt=Zeugamt,,,,,,
63,Karolinenthor,"01., Weihburggasse 26",,16.3756233564837,48.2052892317077,KulturwikiOGD,
64,Stadtgraben,,,,,,
65,Seilerstätte,"01., Seilerstätte 22",,16.3743618942548,48.204804726818,KulturwikiOGD,
66,Weihburggasse,"01., Weihburggasse 18-20",,16.374771532126,48.2059304136154,Gazetteer_Steinhausenplan_V5_auto,
67,Mineralwässer=Trinkkur=Anstalt,,,,,,
68,Rennweg,"03., Eslarngasse 29",,16.3921416494607,48.1931009556664,Gazetteer_Steinhausenplan_V5_auto,
69,Palais des Herzogs von Koburg,"01., Coburgbastei 2-4",hoch,16.3772441423283,48.2061863295952,"Palais Coburg Residenz, Google Maps",https://www.palais-coburg.com/
70,orientalische Akademie,Zedlitzgasse 4,,16.3771259558208,48.2076499760868,"CityABC, Google Maps",https://cityabc.at/index.php/Zedlitzgasse_4#Orientalische_Akademie
71,Stubenthor,"01., Wollzeile 17",,16.3762765832983,48.2086227765132,Gazetteer_Steinhausenplan_V5_auto,
72,Wollzeile,"01., Wollzeile 20",,16.3763895227159,48.2083415544804,Gazetteer_Steinhausenplan_V5_auto,
73,große Steinbrücke,Stuben(tor)brücke,,16.382333,48.206694,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Stubenbr%C3%BCcke&language=de&params=48.206694444444_N_16.382333333333_E_region:AT-9_type:landmark
74,Wien,,,,,,
75,Landstraße,"03., Steingasse 38",,16.3925499941631,48.1924250425155,KulturwikiOGD,
77,Ungarn,,,,,,
78,Münzgebäude,"03., Am Heumarkt 1; Hauptgebäude der Münze Österreich",,16.382746,48.203598,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Hauptgeb%C3%A4ude_der_M%C3%BCnze_%C3%96sterreich&language=de&params=48.203598_N_16.382746_E_region:AT-9_type:landmark
79,Neustädter ,,,16.349722,48.075278,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wiener_Neust%C3%A4dter_Kanal&language=de&params=48.075277777778_N_16.349722222222_E_region:AT-3_type:waterbody
80,Kanal,,,16.349722,48.075278,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wiener_Neust%C3%A4dter_Kanal&language=de&params=48.075277777778_N_16.349722222222_E_region:AT-3_type:waterbody
81,Stückbohrerei,"03., Linke Bahngasse 9",,16.3843746701567,48.2031547717367,KulturwikiOGD,
82,Jnvalidenhaus,,,16.3865,48.2064,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Invalidenhaus_(Wien)&language=de&params=48.2064_N_16.3865_E_region:AT-9_type:landmark
83,Kanalbassin,,,,,,
84,Stubenthor,"01., Wollzeile 17",,16.3762765832983,48.2086227765132,Gazetteer_Steinhausenplan_V5_auto,
86,Ravelin,,,,,,
87,Hauptmauth,,,16.3790598965998,48.2101947670731,KulturwikiOGD,
88,Fahrpost,,,,,,
89,Hauptmauth,"03., Dominikanerbastei 9-13",,16.3790598965998,48.2101947670731,KulturwikiOGD,
90,Glacis,,,,,,
91,Zollamt,"03., Hintere Zollamtsstraße 2A",hoch,16.3867689100923,48.2110223126289,"CityABC, Google Maps",https://cityabc.at/index.php/Hintere_Zollamtsstra%C3%9Fe_2A
92,Ravelin,,,,,,
93,Donaukanal,"02., Schüttelstraße 17A",,16.3950020299091,48.2113512330379,KulturwikiOGD,
94,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",,16.3330615633398,48.2762075206991,KulturwikiOGD,
95,Praters,"02., Meiereistraße 20",,16.4141951988236,48.2055162577246,KulturwikiOGD,
96,Leopoldstadt,"02., Heustadlsteg 213",sehr niedrig (f),16.4239932517287,48.1976654115296,Gazetteer_Steinhausenplan_V5_auto,
97,Ferdinandsbrücke,Schwedenbrücke,,16.378889,48.211944,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Schwedenbr%C3%BCcke&language=de&params=48.211944444444_N_16.378888888889_E_region:AT-9_type:landmark
98,Rothenthurm=Thore,,,16.37638772,48.21190983,Gazetteer_Steinhausenplan_V5_manuell,
99,Taborstraße,"02., Taborstraße 63",,16.3822236734434,48.2220212119013,KulturwikiOGD,
100,Tabor,,,,,,
101,Mähren,,,,,,
102,Böhmen,,,,,,
103,Jägerzeile,Leopoldstadt,,16.385278,48.215278,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=J%C3%A4gerzeile&language=de&params=48.215277777778_N_16.385277777778_E_region:AT-9_type:city
104,Donau,"02., Kafkasteg R RESTAURANT",,16.4162584112263,48.2203084222321,KulturwikiOGD,
105,Kornspeicher,,,,,,
106,Franzensbrücke,"02., Franzensbrücke 202",,16.3913111006681,48.2131740152539,KulturwikiOGD,
109,Erdberg,"03., Gestettengasse 36A",,16.4069369983908,48.194841093632,KulturwikiOGD,
110,Rothenthurm=Thore,,sehr niedrig (f),16.37638772,48.21190983,KulturwikiOGD,
111,Laurenzer=Gasse,"05., Hauslabgasse 21/5",sehr niedrig (f),16.3641556968336,48.1845641139818,KulturwikiOGD,
112,Laurenzerhof,,mittel,16.37879712,48.21080605,Gazetteer_Steinhausenplan_V5_manuell,
113,Staats=Buchhaltungen,,mittel,16.3783624420856,48.2108044954658,"CityABC, Google Maps",https://cityabc.at/index.php/Franz-Josefs-Kai_23
114,Müllerische Palais,"01., Rothenturmstraße 26",mittel,16.3763882965999,48.2118492596891,"CityABC, Google Maps",https://cityabc.at/index.php/Fischerstiege#Das_Tor_aus_Sicht_des_Jahres_1842
115,Leopoldstadt,"02., Heustadlsteg 213",sehr niedrig (f),16.4239932517287,48.1976654115296,Gazetteer_Steinhausenplan_V5_auto,
116,Dianabad,"02., Obere Donaustraße 93",hoch,16.3764218926837,48.2135883058372,KulturwikiOGD,
117,Karls=Kettenbrücke,Salztorbrücke,hoch,16.375,48.214167,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Salztorbr%C3%BCcke&language=de&params=48.214166666667_N_16.375_E_region:AT-9_type:landmark
118,Schanzl,"01., Franz-Josefs-Kai 31/1",hoch,16.3749371812675,48.2136340235486,KulturwikiOGD,
119,Fischmarkt,"01., Fleischmarkt 3-5",niedrig,16.376415950128,48.2107148854791,KulturwikiOGD,
121,Ravelin,,,,,,
122,Fischerthore,"01., Morzinplatz 3",hoch,16.3739870831074,48.212963261662,"CityABC, Google Maps",https://cityabc.at/index.php/Fischerstiege#Das_Tor_aus_Sicht_des_Jahres_1842
123,Salzgries,"01., Salztorgasse 2",mittel,16.3728561894804,48.2129740280833,KulturwikiOGD,
124,Polizeihaus,"01., Salzgries 10-16",mittel,16.3716537100925,48.2134726054448,KulturwikiOGD,
125,Grenadierkaserne,Gumpendorferstraße 6-12,niedrig,16.361861,48.200944,KulturwikiOGD,
126,Stabsstockhaus,,,,,,
127,Elendbastei,"01., Schottenring 7, Sühnhaus",sehr niedrig (f),16.363333,48.214722,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=S%C3%BChnhaus&language=de&params=48.214722222222_N_16.363333333333_E_region:AT-9_type:landmark
128,Observatorium,"01., Dr.-Ignaz-Seipel-Platz",sehr niedrig (f),16.377647,48.208936,KulturwikiOGD,
129,Thore,neues Thore,,,,,
130,Glacis,,,,,,
131,Augartenbrücke,"02., Augartenbrücke 201",hoch,16.3703252108137,48.2187980017337,KulturwikiOGD,
132,Leopoldstadt,"02., Heustadlsteg 213",sehr niedrig (f),16.4239932517287,48.1976654115296,Gazetteer_Steinhausenplan_V5_auto,
133,Augartens,"02., Obere Augartenstraße 1 Obj. 44 WC-ANLAGE",hoch,16.3757991931892,48.22563596577,KulturwikiOGD,
134,Brigittenau,"20., Leithastraße 16",mittel,16.3758059042119,48.2384626717794,KulturwikiOGD,
135,Roßau,,hoch,16.363889,48.221667,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Rossau_(Wien)&language=de&params=48.221666666667_N_16.363888888889_E_region:AT-9_type:city 
136,Lichtenthal,,mittel,16.357778,48.228056,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Lichtental_(Wien)&language=de&params=48.228055555556_N_16.357777777778_E_region:AT-9_type:city
137,Servitenkirche,"09., Servitengasse 9",hoch,16.3638355586032,48.22043322564,KulturwikiOGD,
138,Döbling,"19., Cobenzlgasse 63",mittel,16.3331726214989,48.2609654182359,KulturwikiOGD,
139,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",mittel,16.3330615633398,48.2762075206991,KulturwikiOGD,
140,Leopoldsberg,"19., Am Leopoldsberg 1",mittel,16.3465974095477,48.2790007290956,KulturwikiOGD,
141,Herzogsburg der Babenberge,"01., Am Hof 2",niedrig,16.3681815576716,48.2107974672164,"CityABC, Google Maps",https://cityabc.at/index.php/Die_Babenberger-Residenz
142,Kahlenberg,"19., Villenweg 58",mittel,16.3330615633398,48.2762075206991,KulturwikiOGD,
143,Josephsberg,,mittel,15.249119424881,47.9380447695676,Google Maps,
144,Bastei,,,,,,
145,Arsenales,,hoch,16.36726977,48.21374354,Gazetteer_Steinhausenplan_V5_auto,
146,Proviantbäckerei,,,,,,
147,Schottenthore,"01., Freyung 6 Konvent",sehr niedrig (f),16.3652526906358,48.2122375836657,Gazetteer_Steinhausenplan_V5_auto,
148,Schottengasse,"01., Schottengasse 4",niedrig,16.363197754961,48.2132486749223,KulturwikiOGD,
149,Freiung,"01., Freyung Tiefgarage",hoch,16.3647892781553,48.2115772779088,Gazetteer_Steinhausenplan_V5_auto,
150,Herrngasse,"01., Herrengasse 10",hoch,16.3656068251942,48.2098405410723,Gazetteer_Steinhausenplan_V5_auto,
151,Währingergasse,,hoch,16.35822875,48.21860117,Gazetteer_Steinhausenplan_V5_auto,
152,Gewehrfabrik,"09., Schwarzspanierstraße 17",hoch,16.3583315441385,48.2170208900507,KulturwikiOGD,
153,Döbling,"19., Cobenzlgasse 63",mittel,16.3331726214989,48.2609654182359,KulturwikiOGD,
156,Jnfanterie=Kaserne,,fehlt,16.8865982668934,34.1834050074479,QGIS - Estimation,
157,Alsergasse,"21., Kalsergasse 22",sehr niedrig (f),16.4163907694748,48.2627879575126,Gazetteer_Steinhausenplan_V5_auto,
158,Dornbach,,fehlt,,,,
159,Kriminale,,hoch,17.0136965835838,34.1754613626548,QGIS - Estimation,
160,Ravelin,,fehlt,,,,
161,Mölkerbastei,"01., Mölker Bastei 8",hoch,16.3620532425105,48.2123940370492,KulturwikiOGD,
162,Teinfaltstraße,"01., Teinfaltstraße 7",hoch,16.3627143666587,48.2114410456447,KulturwikiOGD,
163,Palais Lubomirski,"01., Mölker Bastei ",mittel,16.361944,48.211667,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palais_Lubomirski&language=de&params=48.211666666667_N_16.361944444444_E_region:AT-9_type:landmark
164,Franzensthor,"01., Rosengasse 8",hoch,21.8257800738236,34.1404740204771,QGIS - Estimation,
165,Josephstadt,"08., Fuhrmannsgasse 3",hoch,16.3480816321009,48.2103093789491,KulturwikiOGD,
166,geographische Jnstitut,"01., Friedrich-Schmidt-Platz 3",mittel,16.356329,48.210981,KulturwikiOGD,
167,Kaisergasse,"23., Kaserngasse 22",sehr niedrig (f),16.2608425665416,48.150495348647,KulturwikiOGD,
168,Josephstädter Theater,,mittel,16.351111,48.209583,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Theater_in_der_Josefstadt&language=de&params=48.209583333333_N_16.351111111111_E_dim:400_region:AT-9_type:landmark
169,Kavallerie=Kaserne,,hoch,,,,
170,Lerchenfeld,"07., Lerchenfelder Straße 81",hoch,16.3448583188681,48.2072450727103,KulturwikiOGD,
171,Löwelbastei,"01., Volksgarten GAERTNERHAUS",mittel,16.3622641675697,48.2097230034041,KulturwikiOGD,
172,Paradies=Gärtchen,,sehr niedrig (f),16.36664806,48.20774753,Gazetteer_Steinhausenplan_V5_manuell,
173,Cortis=Kaffehhause,"01., Volksgarten",mittel,16.3609691632441,48.2069211592244,"Wien Geschichte Wiki, Google Maps",https://www.geschichtewiki.wien.gv.at/Cortisches_Kaffeehaus
174,Volksgarten,"01., Volksgarten THESEUSTEMPEL",niedrig,16.3617552379407,48.2079640584701,KulturwikiOGD,
175,Schenkenstraße,"01., Schenkenstraße 8",niedrig,16.3626843567342,48.210653381081,KulturwikiOGD,
176,Palais Liechtenstein,"(Stadtpalais) 01., Bankgasse 9",mittel,16.3626965846566,48.2101289183061,Google Maps,
177,Staats=Kanzlei,"01., Ballhausplatz 2",mittel,16.3637725296221,48.2083797886037,KulturwikiOGD,
178,Ballplatz,"01., Ballhausplatz 1",hoch,16.3637,48.2081,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Ballhausplatz&language=de&params=48.2081_N_16.3637_E_region:AT-9_type:landmark
179,Bellaria,Hofburg,mittel,16.364081,48.208372,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Bellaria&language=de&params=48.208372222222_N_16.364080555556_E_region:AT-9_type:landmark
180,Burgplatz,,,,,,
181,Volksgarten,"01., Volksgarten THESEUSTEMPEL",,16.3617552379407,48.2079640584701,KulturwikiOGD,
182,zweites Kaffehaus von Corti,,,,,,
183,Volksgarten,"01., Volksgarten THESEUSTEMPEL",,16.3617552379407,48.2079640584701,KulturwikiOGD,
184,Theseustempel,"01., Volksgarten THESEUSTEMPEL",,16.361686238078,48.2083830570045,KulturwikiOGD,
185,Hof=Burgwache,,,,,,
187,Kunstvereine,,,,,,
